GarageNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
1123,37,30,1,14.11.202015:29:40,55.723233,49.1728,43,26
1123,37,30,1,14.11.202015:30:40,55.72795,49.177267,20,34
1123,37,30,1,14.11.202015:30:40,55.72795,49.177267,20,34
1123,37,30,1,14.11.202015:30:40,55.72795,49.177267,20,34
1123,37,30,1,14.11.202015:31:40,55.730217,49.17995,33,33
1123,37,30,1,14.11.202015:31:40,55.730217,49.17995,33,33
1123,37,30,1,14.11.202015:31:40,55.730217,49.17995,33,33
1123,37,30,1,14.11.202015:32:40,55.733083,49.1832,0,40
1123,37,30,1,14.11.202015:32:40,55.733083,49.1832,0,40
1123,37,30,1,14.11.202015:32:40,55.733083,49.1832,0,40
1123,37,30,1,14.11.202015:33:40,55.73415,49.1806,28,289
1123,37,30,1,14.11.202015:33:40,55.73415,49.1806,28,289
1123,37,30,1,14.11.202015:33:40,55.73415,49.1806,28,289
1123,37,30,1,14.11.202015:34:40,55.737233,49.185683,43,46
1123,37,30,1,14.11.202015:34:40,55.737233,49.185683,43,46
1123,37,30,1,14.11.202015:34:40,55.737233,49.185683,43,46
1123,37,30,1,14.11.202015:35:40,55.74095,49.192517,41,46
1123,37,30,1,14.11.202015:35:40,55.74095,49.192517,41,46
1123,37,30,1,14.11.202015:35:40,55.74095,49.192517,41,46
1123,37,30,1,14.11.202015:36:40,55.74275,49.1958,41,46
1123,37,30,1,14.11.202015:36:40,55.74275,49.1958,41,46
1123,37,30,1,14.11.202015:36:40,55.74275,49.1958,41,46
1123,37,30,1,14.11.202015:37:40,55.7454,49.200783,0,41
1123,37,30,1,14.11.202015:37:40,55.7454,49.200783,0,41
1123,37,30,1,14.11.202015:37:40,55.7454,49.200783,0,41
1123,37,30,1,14.11.202015:38:40,55.748667,49.206617,33,46
1123,37,30,1,14.11.202015:38:40,55.748667,49.206617,33,46
1123,37,30,1,14.11.202015:38:40,55.748667,49.206617,33,46
1123,37,30,1,14.11.202015:39:40,55.750883,49.21085,33,50
1123,37,30,1,14.11.202015:39:40,55.750883,49.21085,33,50
1123,37,30,1,14.11.202015:39:40,55.750883,49.21085,33,50
1123,37,30,1,14.11.202015:40:40,55.750917,49.209867,41,225
1123,37,30,1,14.11.202015:40:40,55.750917,49.209867,41,225
1123,37,30,1,14.11.202015:40:40,55.750917,49.209867,41,225
1123,37,30,1,14.11.202015:41:40,55.753183,49.2037,11,322
1123,37,30,1,14.11.202015:41:40,55.753183,49.2037,11,322
1123,37,30,1,14.11.202015:41:40,55.753183,49.2037,11,322
1123,37,30,1,14.11.202015:42:40,55.754067,49.202217,20,317
1123,37,30,1,14.11.202015:42:40,55.754067,49.202217,20,317
1123,37,30,1,14.11.202015:42:40,55.754067,49.202217,20,317
1123,37,30,1,14.11.202015:43:40,55.757,49.197167,22,316
1123,37,30,1,14.11.202015:43:40,55.757,49.197167,22,316
1123,37,30,1,14.11.202015:43:40,55.757,49.197167,22,316
1123,37,30,1,14.11.202015:44:40,55.758717,49.1943,24,316
1123,37,30,1,14.11.202015:44:40,55.758717,49.1943,24,316
1123,37,30,1,14.11.202015:44:40,55.758717,49.1943,24,316
1123,37,30,1,14.11.202015:45:40,55.75985,49.1924,0,312
1123,37,30,1,14.11.202015:45:40,55.75985,49.1924,0,312
1123,37,30,1,14.11.202015:45:40,55.75985,49.1924,0,312
1123,37,30,1,14.11.202015:46:40,55.761217,49.189917,30,313
1123,37,30,1,14.11.202015:46:40,55.761217,49.189917,30,313
1123,37,30,1,14.11.202015:46:40,55.761217,49.189917,30,313
1123,37,30,1,14.11.202015:47:40,55.76385,49.1853,4,314
1123,37,30,1,14.11.202015:47:40,55.76385,49.1853,4,314
1123,37,30,1,14.11.202015:47:40,55.76385,49.1853,4,314
1123,37,30,1,14.11.202015:48:40,55.7649,49.18345,17,313
1123,37,30,1,14.11.202015:48:40,55.7649,49.18345,17,313
1123,37,30,1,14.11.202015:48:40,55.7649,49.18345,17,313
1123,37,30,1,14.11.202015:48:40,55.7649,49.18345,17,313
1123,37,30,1,14.11.202015:49:40,55.765483,49.1823,0,7
1123,37,30,1,14.11.202015:49:40,55.765483,49.1823,0,7
1123,37,30,1,14.11.202015:50:40,55.765617,49.182117,13,316
1123,37,30,1,14.11.202015:50:40,55.765617,49.182117,13,316
1123,37,30,1,14.11.202015:50:40,55.765617,49.182117,13,316
1123,37,30,1,14.11.202015:51:40,55.76595,49.18145,0,350
1123,37,30,1,14.11.202015:51:40,55.76595,49.18145,0,350
1123,37,30,1,14.11.202015:51:40,55.76595,49.18145,0,350
1123,37,30,1,14.11.202015:52:40,55.765183,49.179467,0,17
1123,37,30,1,14.11.202015:52:40,55.765183,49.179467,0,17
1123,37,30,1,14.11.202015:52:40,55.765183,49.179467,0,17
1123,37,30,1,14.11.202015:53:40,55.764683,49.1782,0,266
1123,37,30,1,14.11.202015:53:40,55.764683,49.1782,0,266
1123,37,30,1,14.11.202015:53:40,55.764683,49.1782,0,266
1123,37,30,1,14.11.202015:54:40,55.76475,49.17375,13,268
1123,37,30,1,14.11.202015:54:40,55.76475,49.17375,13,268
1123,37,30,1,14.11.202015:54:40,55.76475,49.17375,13,268
1123,37,30,1,14.11.202015:55:40,55.764567,49.167683,2,236
1123,37,30,1,14.11.202015:55:40,55.764567,49.167683,2,236
